fecha,kw
2011-12-01,	19
2012-01-01,	19
2012-02-01,	21
2012-03-01,	17
2012-04-01,	14
2012-05-01,	8
2012-06-01,	8
2012-07-01,	12
2012-08-01,	9
2012-09-01,	8
2012-10-01,	12
2012-11-01,	8
