fecha,kw
2011-12-01,	70
2012-01-01,	77
2012-02-01,	77
2012-03-01,	45
2012-04-01,	37
2012-05-01,	29
2012-06-01,	35
2012-07-01,	26
2012-08-01,	28
2012-09-01,	32
2012-10-01,	36
2012-11-01,	47
