fecha,kwh
2011-12-01,2420
2012-01-01,3296
2012-02-01,3367
2012-03-01,2430
2012-04-01,1794
2012-05-01,1623
2012-06-01,1575
2012-07-01,1550
2012-08-01,1453
2012-09-01,1278
2012-10-01,1364
2012-11-01,1516
