fecha,kwh
2011-12-01,8171
2012-01-01,11773
2012-02-01,10844
2012-03-01,6210
2012-04-01,4224
2012-05-01,4033
2012-06-01,3879
2012-07-01,3662
2012-08-01,3424
2012-09-01,3579
2012-10-01,4515
2012-11-01,6501
