fecha,kw
2011-12-01,	36
2012-01-01,	68
2012-02-01,	70
2012-03-01,	38
2012-04-01,	28
2012-05-01,	21
2012-06-01,	22
2012-07-01,	21
2012-08-01,	13
2012-09-01,	15
2012-10-01,	20
2012-11-01,	29
