Date,Time,Period,Unit V,Unit A,Unit W,Unit An,Voltage/Phase 1,Voltage/Phase 2,Voltage/Phase 3,Voltage/Triphasic ~,Maximum voltage/Phase 1,Maximum voltage/Phase 2,Maximum voltage/Phase 3,Maximum voltage/Triphasic ~,Minimum voltage/Phase 1,Minimum voltage/Phase 2,Minimum voltage/Phase 3,Minimum voltage/Triphasic ~,Current/Phase 1,Current/Phase 2,Current/Phase 3,Current/Triphasic ~,Current/In,Maximum current/Phase 1,Maximum current/Phase 2,Maximum current/Phase 3,Maximum current/Triphasic ~,Maximum current/In,Power/Phase 1 +,Power/Phase 2 +,Power/Phase 3 +,Power/Triphasic +,Power L/Phase 1 +,Power L/Phase 2 +,Power L/Phase 3 +,Power L/Triphasic +,Power C/Phase 1 +,Power C/Phase 2 +,Power C/Phase 3 +,Power C/Triphasic +,Power factor/Phase 1 +,Power factor/Phase 2 +,Power factor/Phase 3 +,Power factor/Triphasic +,Frequency/Inst,Aparent power/Phase 1 ~,Aparent power/Phase 2 ~,Aparent power/Phase 3 ~,Aparent power/Triphasic,Energy/Energy III +,Energy/Energy L III +,Energy/Energy C III +,Maximum aparent power/Phase 1 maximum ~,Maximum aparent power/Phase 2 maximum ~,Maximum aparent power/Phase 3 maximum ~,Maximum aparent power/Triphasic maximum
06/30/2011,15:49:41,600.0,V,A,W,A,223,223,222,223,223,223,223,223,223,223,222,223,11.154,10.920,10.925,11.000,0.000,11.232,11.076,11.159,11.156,0.000,1844,1980,1929,5753,1695,1443,1521,4659,0,0,0,0,0.74,0.81,0.79,0.78,50.0,2487.342,2435.160,2425.350,7359,4379.398,625.362,10.585,2504.736,2469.948,2488.457,7469
06/30/2011,15:50:00,600.0,V,A,W,A,222,222,222,222,224,224,224,224,220,219,219,219,13.182,13.026,13.032,13.080,0.000,31.903,31.668,31.916,31.829,0.000,2328,2461,2412,7201,1788,1536,1632,4956,0,0,0,0,0.79,0.85,0.83,0.82,50.0,2926.404,2891.772,2893.104,8737,4380.600,626.190,10.585,7146.272,7093.632,7149.184,21041
06/30/2011,16:00:00,600.0,V,A,W,A,222,222,222,222,224,224,224,224,220,220,220,220,14.196,15.600,14.124,14.640,0.000,31.747,35.724,31.916,33.129,0.000,2551,2942,2653,8146,1844,1832,1688,5364,0,0,0,0,0.81,0.85,0.84,0.83,50.0,3151.512,3463.200,3135.528,9765,4381.957,627.086,10.585,7111.328,8002.176,7149.184,21919
06/30/2011,16:10:00,600.0,V,A,W,A,223,222,222,222,224,224,224,224,220,220,220,220,14.196,14.040,14.046,14.094,0.000,31.747,31.512,31.838,31.699,0.000,2570,2702,2653,7925,1862,1573,1670,5105,0,0,0,0,0.81,0.86,0.84,0.84,50.0,3165.708,3116.880,3118.212,9416,4383.275,627.939,10.585,7111.328,7058.688,7131.712,21017
06/30/2011,16:20:00,600.0,V,A,W,A,223,223,223,223,224,224,224,224,221,221,220,221,13.260,13.104,12.407,12.924,0.000,31.747,31.512,31.526,31.595,0.000,2365,2498,2226,7089,1806,1554,1632,4992,0,0,0,0,0.79,0.85,0.80,0.82,50.0,2956.980,2922.192,2766.761,8663,4384.457,628.773,10.585,7111.328,7058.688,7061.824,21013
06/30/2011,16:30:00,600.0,V,A,W,A,223,223,222,223,225,225,224,225,220,219,217,219,9.672,11.544,8.896,10.037,0.000,57.254,55.770,54.937,55.987,0.000,1695,2110,1558,5363,1341,1462,1206,4009,0,0,0,0,0.78,0.82,0.79,0.80,50.0,2156.856,2574.312,1974.912,6713,4385.355,629.443,10.585,12882.150,12548.250,12305.888,37060
06/30/2011,16:40:00,600.0,V,A,W,A,222,222,221,222,223,225,223,224,220,220,219,220,12.402,12.246,11.315,11.988,0.000,31.903,31.668,30.746,31.439,0.000,2160,2276,1966,6402,1732,1517,1558,4807,0,0,0,0,0.78,0.83,0.78,0.80,50.0,2753.244,2718.612,2500.615,7994,4386.422,630.245,10.585,7114.369,7125.300,6856.358,20812
06/30/2011,16:50:00,600.0,V,A,W,A,223,223,223,223,225,225,224,225,220,220,220,220,13.806,13.650,13.656,13.704,0.000,31.825,31.590,31.994,31.803,0.000,2477,2609,2542,7628,1825,1591,1670,5086,0,0,0,0,0.80,0.85,0.83,0.83,50.0,3078.738,3043.950,3045.288,9182,4387.692,631.095,10.585,7160.625,7107.750,7166.656,21057
06/30/2011,17:00:00,600.0,V,A,W,A,224,224,223,224,225,225,225,225,221,221,220,221,13.728,14.118,13.578,13.808,0.000,31.747,31.512,31.682,31.647,0.000,2458,2683,2523,7664,1825,1684,1688,5197,0,0,0,0,0.80,0.84,0.83,0.82,50.0,3075.072,3162.432,3027.894,9271,4388.970,631.962,10.585,7143.075,7090.200,7128.450,21050
06/30/2011,17:10:00,600.0,V,A,W,A,224,224,223,224,225,225,224,225,222,221,220,221,13.728,14.820,13.578,14.042,0.000,31.747,35.802,31.760,33.103,0.000,2477,2794,2523,7794,1844,1795,1688,5327,0,0,0,0,0.80,0.84,0.83,0.82,50.0,3075.072,3319.680,3027.894,9431,4390.268,632.851,10.585,7143.075,8055.450,7114.240,21952
06/30/2011,17:20:00,600.0,V,A,W,A,224,224,224,224,225,226,225,225,221,221,221,221,13.650,13.572,12.719,13.314,0.000,31.669,31.512,31.448,31.543,0.000,2440,2591,2300,7331,1825,1591,1670,5086,0,0,0,0,0.80,0.85,0.80,0.82,50.0,3057.600,3040.128,2849.056,8962,4391.491,633.702,10.585,7125.525,7121.712,7075.800,21018
06/30/2011,17:30:00,600.0,V,A,W,A,224,224,224,224,225,226,225,225,221,222,221,221,12.792,12.636,11.783,12.404,0.000,31.669,31.434,30.668,31.257,0.000,2253,2387,2078,6718,1788,1554,1632,4974,0,0,0,0,0.78,0.84,0.78,0.80,50.0,2865.408,2830.464,2639.392,8349,4392.612,634.534,10.585,7125.525,7104.084,6900.300,20812
06/30/2011,17:40:00,600.0,V,A,W,A,224,224,224,224,225,225,225,225,222,221,222,222,13.728,15.054,12.719,13.834,0.000,31.591,35.412,30.668,32.557,0.000,2458,2831,2300,7589,1844,1832,1688,5364,0,0,0,0,0.79,0.84,0.80,0.81,50.0,3075.072,3372.096,2849.056,9311,4393.875,635.429,10.585,7107.975,7967.700,6900.300,21699
06/30/2011,17:50:00,600.0,V,A,W,A,225,225,224,225,226,227,226,226,222,222,222,222,16.068,15.834,15.919,15.940,0.000,31.591,31.278,31.682,31.517,0.000,3017,3128,3061,9206,1974,1721,1818,5513,0,0,0,0,0.83,0.88,0.86,0.85,50.0,3615.300,3562.650,3565.856,10764,4395.410,636.350,10.585,7139.566,7100.106,7160.132,21108
