fecha,kw
2011-12-01,	67
2012-01-01,	62
2012-02-01,	48
2012-03-01,	36
2012-04-01,	37
2012-05-01,	30
2012-06-01,	31
2012-07-01,	25
2012-08-01,	25
2012-09-01,	31
2012-10-01,	30
2012-11-01,	43
