mes,ano,p1,p2,p3,p4,p5,p6
Enero,2010,26,26,6,14,16,12
Febrero,2010,20,17,7,16,18,11
Marzo,2010,20,17,7,16,19,10
Abril,2010,7,21,7,7,14,10
Mayo,2010,15,43,11,11,25,12
Junio,2010,15,29,15,22,34,13
Julio,2010,15,29,15,22,34,13
Agosto,2010,14,20,11,15,17,13
Septiembre,2010,17,24,13,11,20,12
Octubre,2010,10,25,10,11,20,11
Noviembre,2010,25,22,12,19,19,9
Diciembre,2010,22,23,13,32,33,18
